857 868
658 477 586
267 198 454
128 346 -994
627 797 304
15 261 541
473 375 675
112 696 -758
542 251 -796
506 452 130
56 49 -739
783 608 -736
503 803 676
573 312 -458
95 173 512
716 206 916
575 855 754
220 280 -935
768 309 -397
849 392 596
452 87 -961
401 814 704
145 193 96
133 173 -503
845 174 -182
750 490 -778
520 58 95
311 582 657
211 445 969
164 687 -652
764 794 -464
407 10 -70
302 261 9
379 446 -401
617 585 30
146 169 424
483 362 22
594 382 589
667 342 -295
46 107 -536
747 206 -472
420 48 528
309 219 -550
88 109 227
77 150 -402
44 623 -830
177 241 450
772 243 900
527 170 862
790 816 -884
834 620 674
190 678 -542
823 193 -272
368 144 -989
616 396 -581
585 6 -520
749 115 461
550 511 947
111 743 511
209 309 93
346 141 -696
712 560 494
349 792 -1
109 353 -74
593 328 516
212 143 -921
594 59 -480
800 233 855
542 94 -347
687 483 217
435 12 707
559 224 541
405 497 -501
371 22 314
328 804 114
822 576 755
218 672 980
216 723 -23
724 475 -301
187 445 808
371 587 -354
489 347 142
835 384 767
614 164 -151
98 291 327
593 147 734
494 302 942
499 538 -945
208 159 -886
854 111 702
81 316 -272
555 386 983
607 812 60
297 857 411
184 682 649
769 834 311
456 219 -53
555 503 -766
725 441 -576
716 277 771
659 744 -286
49 446 -502
123 844 8
332 685 -114
298 781 -319
780 342 -421
146 737 567
62 55 -415
726 129 -522
609 781 655
472 341 -517
84 232 -563
87 272 680
604 351 -785
124 180 361
229 224 738
838 857 -562
394 630 -15
242 855 62
25 620 -541
169 91 368
276 286 874
308 681 99
309 552 168
57 674 189
382 156 980
274 524 496
468 603 175
82 611 986
51 377 -607
418 531 721
742 112 269
682 715 846
21 127 -806
382 792 -957
590 118 530
321 626 27
472 451 -860
157 687 -272
827 591 -680
721 242 81
786 704 909
163 534 1
401 667 -941
534 105 -255
199 116 -622
510 231 229
752 461 -292
358 633 93
590 754 -158
844 593 666
479 273 -154
595 122 525
330 666 375
539 533 -696
419 275 491
812 70 -223
263 76 -545
310 729 486
170 14 -259
139 731 -204
388 465 167
97 597 -185
643 20 -737
311 26 781
139 32 977
355 579 38
46 227 558
614 561 -938
417 350 -175
233 150 258
393 406 -420
26 730 120
346 233 -15
85 583 703
697 742 -432
627 852 563
831 25 904
660 344 -333
51 800 246
684 675 -589
441 458 556
32 373 -779
43 122 615
248 163 -79
834 698 -214
318 17 891
651 829 -810
266 20 667
288 418 184
325 12 805
387 443 -962
798 276 128
618 318 411
27 103 583
166 830 -322
708 63 417
726 238 -173
213 207 -103
744 782 -984
469 652 385
324 812 -888
298 408 -352
780 443 706
598 338 -539
212 255 -356
613 94 297
141 486 -991
577 560 802
537 541 78
478 107 -962
277 749 -702
525 3 982
311 847 -400
750 502 -51
388 114 -912
54 212 -217
633 20 -578
370 177 817
845 831 -407
672 172 746
580 733 -991
206 288 356
21 313 -4
704 17 -736
226 119 247
137 833 389
161 213 -161
814 106 -105
686 360 -866
696 488 -391
196 64 329
754 709 395
38 679 337
767 203 729
140 33 -263
306 137 -929
328 443 -874
508 524 195
663 627 -476
792 298 159
16 71 141
197 323 437
705 153 268
103 826 -863
365 547 651
408 816 392
302 197 344
