16
898 1797
119 125 567
240 422 592
721 759 72
263 68 47
82 764 232
99 610 663
817 359 180
419 287 139
130 842 421
65 510 621
690 499 889
360 78 601
747 812 977
791 370 20
607 727 839
480 229 88
469 642 148
680 657 935
756 151 263
128 63 634
320 420 788
467 613 373
361 836 886
156 385 51
712 433 307
237 765 43
575 32 388
870 436 664
534 36 193
157 872 823
149 418 251
500 833 781
557 104 792
486 423 713
692 495 297
203 509 778
531 674 674
751 590 982
472 863 831
88 488 970
429 601 572
328 758 198
533 749 760
70 395 372
376 678 310
71 206 42
245 49 8
629 762 680
840 587 512
41 509 101
422 279 350
840 204 178
841 206 220
302 50 339
672 27 257
637 158 858
51 843 624
140 790 494
442 869 943
445 142 96
100 497 715
498 245 195
199 100 510
513 855 963
892 518 386
73 542 430
869 2 93
275 832 284
375 769 498
893 76 621
617 200 732
286 587 742
394 386 944
27 524 149
217 642 521
140 26 555
40 21 956
514 472 346
136 429 449
216 213 36
110 715 829
361 353 480
842 717 16
741 267 624
152 360 869
155 93 884
402 636 997
501 258 40
511 624 94
725 772 57
647 615 395
385 463 305
283 33 328
737 753 170
227 762 662
246 298 784
217 323 587
749 140 528
463 396 753
652 736 531
160 778 855
340 32 578
552 557 934
609 516 167
805 610 967
156 201 747
253 619 837
759 285 626
366 820 185
888 334 741
298 211 595
596 609 942
342 143 491
438 836 16
257 112 547
890 409 832
160 356 506
686 135 220
787 99 181
54 504 282
257 866 554
238 291 396
154 140 511
810 849 209
294 580 281
781 577 623
60 134 800
591 8 729
290 801 99
85 826 327
324 295 965
665 321 78
148 574 351
436 280 102
395 178 838
309 790 929
153 420 377
471 665 737
475 333 865
31 730 637
45 199 49
422 624 852
483 742 436
822 764 56
800 886 537
575 470 368
121 64 533
472 42 553
649 324 844
878 229 762
286 70 473
762 525 306
258 22 771
84 719 371
125 700 520
556 599 359
63 766 151
408 354 790
871 250 522
5 373 12
139 267 533
98 203 287
403 365 842
808 387 29
201 753 39
325 651 591
585 787 212
730 26 334
444 807 937
549 162 325
152 384 543
882 269 773
132 386 400
621 616 874
691 855 289
412 780 778
767 896 709
173 897 157
526 788 137
76 12 933
849 331 887
330 177 832
529 722 291
552 543 620
313 83 684
351 275 564
752 368 144
173 510 170
590 617 171
767 803 86
15 679 586
117 25 639
212 308 455
199 493 61
489 783 7
178 366 873
57 240 944
299 207 370
80 482 515
470 838 602
873 413 824
289 51 702
91 569 568
748 440 479
37 620 406
673 861 495
446 745 754
167 281 724
7 632 746
16 14 841
263 409 933
353 799 300
407 829 857
141 436 650
139 445 525
700 174 196
891 43 776
863 231 69
84 308 237
395 139 402
242 889 224
397 398 294
36 311 719
106 92 619
776 597 398
316 299 862
749 237 918
62 836 683
455 792 853
372 435 640
144 544 691
682 753 125
128 736 105
613 348 463
219 306 258
707 678 409
441 36 155
337 864 907
556 832 274
766 121 530
778 847 97
325 806 864
430 59 258
25 199 667
288 466 381
15 259 87
681 269 430
404 810 38
206 520 869
181 171 247
56 521 880
275 574 386
869 9 795
327 703 476
812 451 530
345 369 533
74 537 348
262 719 445
892 789 792
503 841 380
652 210 459
188 153 176
262 342 163
751 782 348
138 309 999
591 404 332
468 23 714
249 567 110
367 115 4
130 270 749
794 738 483
668 291 672
102 363 597
201 270 31
830 286 125
897 357 86
547 741 947
588 861 874
870 144 212
532 2 677
693 827 816
712 230 123
774 456 528
737 540 450
449 580 699
253 738 93
579 351 283
241 231 689
145 105 40
121 92 140
111 579 249
653 754 621
818 28 821
118 144 972
228 474 275
381 447 877
68 344 567
79 90 230
746 810 61
817 324 234
385 542 188
164 239 542
445 655 708
791 162 345
188 470 151
807 19 817
701 170 613
299 591 812
391 255 721
737 547 160
503 569 294
588 703 729
798 25 169
370 399 477
755 753 605
608 147 115
730 329 951
474 565 475
76 293 402
16 13 704
513 526 922
92 821 748
647 624 854
744 644 475
367 484 699
14 70 586
118 272 828
801 132 808
521 625 49
495 313 652
548 307 681
747 355 731
756 349 296
796 162 378
591 806 189
422 241 994
842 5 137
717 896 743
484 758 2
539 299 393
596 75 792
98 840 381
434 689 251
279 360 666
842 820 692
373 890 682
677 477 708
31 223 149
757 508 460
58 398 927
737 212 586
484 101 763
21 84 396
567 556 67
641 638 508
608 887 744
373 789 476
506 881 4
639 153 75
707 88 486
359 264 952
248 349 886
47 753 117
184 237 355
179 375 456
686 886 831
375 319 312
707 158 878
199 458 606
129 353 767
820 778 218
687 646 416
826 853 203
689 769 468
542 660 69
232 780 125
131 873 58
763 564 162
526 359 300
310 736 149
465 713 507
482 593 721
727 600 594
480 543 994
118 166 137
158 667 214
839 71 899
307 262 66
281 163 240
566 486 658
847 30 894
702 149 751
19 324 740
4 182 246
201 372 232
287 642 395
354 202 726
305 179 150
388 25 705
553 626 585
328 811 397
170 294 522
568 69 336
608 509 822
133 138 908
130 196 92
323 573 295
843 224 267
191 300 850
495 688 149
485 876 61
563 284 707
711 433 496
757 575 292
760 427 224
3 315 591
495 659 929
377 821 943
317 550 89
265 566 268
676 841 842
457 790 979
790 293 605
169 661 177
435 58 376
365 367 730
81 577 178
687 393 15
659 395 635
613 441 77
829 434 524
743 325 41
331 254 469
220 371 170
434 292 457
124 874 635
168 849 132
327 657 137
3 572 675
304 375 158
520 373 112
592 514 105
373 784 23
760 867 778
658 2 918
524 801 109
147 804 609
555 104 841
449 354 128
78 23 67
650 551 706
545 874 476
199 628 873
662 380 589
72 724 983
318 190 82
144 538 662
837 712 815
397 116 689
561 143 4
540 589 526
262 481 6
149 397 719
334 618 384
823 861 62
262 366 374
498 104 425
811 563 340
847 69 659
708 85 587
683 397 881
766 386 142
369 688 755
428 496 298
787 312 23
389 669 148
836 352 429
754 13 94
554 849 229
88 865 442
800 698 569
534 684 968
110 291 100
319 98 773
875 561 851
98 115 215
811 71 282
516 631 508
59 149 982
523 155 104
7 176 34
587 369 67
736 169 856
445 531 843
860 525 857
292 661 606
495 246 999
133 465 116
824 351 218
320 579 458
253 485 199
323 69 992
718 291 236
298 555 877
85 505 882
348 354 166
603 884 414
380 158 409
762 640 243
12 43 77
644 435 47
400 568 35
290 313 95
813 309 771
461 661 432
466 611 91
524 620 903
640 48 904
75 848 933
41 557 147
259 507 268
158 424 243
181 153 363
894 588 775
363 842 771
433 389 610
758 865 668
882 64 774
450 499 949
87 170 625
560 813 456
406 256 166
104 184 922
392 532 407
510 889 314
463 14 496
713 157 18
811 361 281
790 7 488
825 611 383
405 72 861
379 509 875
791 497 975
351 137 994
463 298 393
148 503 940
560 871 161
611 834 854
435 82 590
472 102 342
516 894 645
559 879 723
799 205 673
699 616 635
786 877 987
557 51 105
679 258 395
380 151 150
723 263 153
883 340 199
181 812 394
210 28 601
730 699 602
274 505 379
112 21 231
868 390 907
889 57 935
261 561 656
784 715 544
336 463 246
526 622 974
574 322 174
765 859 213
587 182 670
807 878 648
569 266 535
57 99 4
368 495 607
14 876 478
799 308 673
666 305 399
677 299 110
427 524 407
357 162 741
472 842 961
632 55 950
97 686 385
181 244 78
880 381 549
873 511 216
726 461 502
293 535 952
26 782 153
391 675 241
847 35 954
748 388 997
726 374 571
614 703 600
688 141 723
857 156 695
243 147 845
879 285 164
575 283 492
511 323 141
564 727 532
749 36 106
829 587 644
252 32 271
361 523 317
429 589 179
29 873 252
497 169 395
462 688 416
278 453 646
651 444 620
872 649 419
594 406 903
312 810 574
570 844 135
497 708 440
296 832 274
499 706 453
150 491 374
892 490 190
49 300 132
159 76 5
622 498 36
380 668 77
322 872 539
569 89 21
385 587 878
730 668 550
495 67 730
352 580 866
513 509 422
852 218 709
18 346 108
166 45 683
278 629 519
311 76 684
141 134 603
692 435 155
581 545 433
57 309 956
227 799 913
497 798 852
461 511 906
185 424 227
244 601 993
268 83 41
777 561 404
735 894 213
158 769 841
644 90 26
204 343 630
70 485 244
177 345 28
39 117 485
324 671 671
180 155 336
253 233 12
605 519 880
553 395 221
249 321 921
132 597 583
543 776 546
464 715 538
526 71 929
300 725 385
371 313 925
431 605 278
559 869 411
282 758 614
206 839 394
502 643 145
337 114 303
412 13 777
138 499 808
633 338 854
183 451 751
390 841 72
389 780 618
192 833 545
679 131 865
300 609 197
495 401 306
331 592 859
601 701 694
547 829 562
580 87 18
862 439 603
488 275 244
105 868 787
152 140 353
343 846 461
116 5 38
706 249 994
875 767 743
122 293 12
23 793 608
205 473 83
855 84 951
449 893 722
48 694 769
108 368 424
649 861 407
666 85 356
518 656 332
565 197 957
433 467 717
13 513 114
222 212 773
825 472 559
242 4 85
162 241 246
274 39 74
594 876 59
214 688 801
831 175 77
332 83 332
448 51 882
740 437 740
656 147 198
327 201 306
376 803 159
518 625 19
136 69 56
174 381 367
13 199 794
88 665 240
822 390 906
144 880 919
479 186 169
26 226 751
616 821 263
344 850 476
368 366 487
463 185 977
798 115 15
790 300 707
287 798 663
529 488 369
173 460 672
138 216 620
257 431 69
789 672 982
92 205 33
88 380 740
500 155 901
758 267 989
232 676 344
361 240 800
880 79 593
703 793 926
757 602 287
362 453 99
689 827 55
128 604 183
876 651 822
677 781 819
674 45 803
244 174 518
653 225 954
1 460 654
737 160 572
295 831 268
330 591 760
74 119 787
795 513 384
412 569 504
36 110 125
435 248 650
879 463 224
809 294 35
646 609 436
802 664 425
480 579 37
587 557 208
16 377 623
393 811 382
751 742 386
391 717 507
300 541 816
705 265 777
846 807 114
821 41 73
384 621 223
173 254 978
610 479 62
634 416 217
611 831 244
23 614 820
437 228 79
510 119 928
886 45 628
122 875 738
259 448 949
80 46 193
476 31 976
328 631 609
852 93 820
764 203 156
57 219 885
690 854 976
393 242 505
297 586 122
74 776 872
800 712 796
641 162 54
426 513 160
330 826 582
552 628 167
870 334 584
237 855 144
635 611 647
170 194 651
64 466 324
581 893 624
554 228 502
184 372 560
769 641 24
822 122 651
559 298 381
379 268 197
823 700 191
879 410 883
391 534 245
488 660 696
893 614 603
431 635 168
207 691 25
353 199 122
732 193 605
627 715 427
170 795 138
358 154 139
734 445 643
185 289 322
520 482 368
629 419 101
763 522 703
617 259 292
700 178 63
107 523 150
470 486 637
672 856 458
173 474 567
488 824 614
320 431 489
639 804 36
228 862 537
41 7 525
854 136 308
133 531 399
325 272 775
650 533 106
285 512 433
703 205 505
151 586 586
247 490 777
479 324 4
282 78 291
51 868 918
681 182 782
273 246 717
91 60 507
727 333 364
486 724 176
44 252 715
882 462 676
591 898 150
339 744 705
553 327 883
399 194 324
713 184 854
897 684 30
386 238 985
822 844 737
304 724 290
801 581 446
165 764 555
97 256 869
597 732 775
602 192 124
475 399 603
489 533 26
278 89 214
259 869 634
540 882 988
80 838 169
450 771 206
202 306 573
705 484 365
492 779 128
616 561 576
538 373 381
842 652 201
162 529 210
395 488 755
387 771 36
177 635 433
289 894 940
40 434 807
376 346 817
26 75 641
262 642 21
564 249 32
510 527 286
356 150 575
816 634 763
591 339 381
615 693 572
482 645 696
536 527 711
683 750 549
842 615 785
550 416 315
84 898 60
638 729 91
874 85 633
116 570 228
645 893 6
73 790 265
373 322 232
47 33 939
618 408 18
499 268 473
72 231 4
490 64 127
33 558 380
75 249 541
559 784 417
201 114 186
78 276 220
439 326 178
888 429 383
635 384 871
215 637 191
717 527 228
385 118 94
898 563 438
851 711 126
411 885 986
567 497 291
531 281 266
104 868 401
468 882 588
462 236 915
209 811 217
689 249 338
321 287 170
121 576 257
832 210 710
249 255 699
33 25 422
33 452 832
