898 2763
361 147 845
448 504 902
739 666 810
194 392 832
709 677 589
249 234 137
623 10 278
653 674 833
716 610 703
8 239 231
501 210 942
661 512 654
382 112 321
638 789 780
842 506 621
358 340 742
353 746 34
734 863 917
544 32 631
694 692 538
734 172 163
726 817 320
470 1 763
305 384 663
660 817 486
452 644 897
611 13 691
547 514 650
862 70 497
721 639 755
715 62 110
147 553 241
292 582 106
55 336 750
682 149 981
852 348 427
384 311 455
344 43 562
251 110 201
507 746 700
657 111 736
57 2 570
758 388 252
267 328 747
688 715 672
27 182 784
367 800 161
686 388 115
174 88 857
344 18 250
34 352 943
10 132 40
41 346 879
861 342 518
572 281 161
546 584 428
427 260 544
73 703 243
438 514 296
46 105 396
802 224 400
132 442 377
339 747 995
250 818 464
508 751 920
180 189 233
59 143 289
737 749 97
149 391 502
141 201 85
847 181 353
521 762 905
424 713 261
482 71 657
561 262 844
98 567 63
508 834 759
69 616 233
271 591 264
42 853 772
826 483 889
109 684 153
218 238 377
697 753 903
292 278 484
402 451 691
114 530 982
70 14 689
727 353 859
579 376 253
643 663 358
3 503 703
658 63 273
615 819 581
1 684 838
36 808 812
215 487 666
657 827 405
149 369 45
510 881 502
393 403 669
682 285 915
769 203 700
46 337 534
852 353 406
137 645 277
149 597 141
565 37 658
791 834 47
832 423 897
160 866 875
742 732 501
762 206 402
378 212 978
579 534 337
273 871 94
775 63 189
185 658 552
518 756 889
584 448 305
643 430 160
251 722 826
787 446 105
856 413 22
97 177 420
467 689 86
459 474 645
704 119 15
120 18 142
274 320 953
443 200 795
472 890 171
12 41 254
96 232 391
791 302 141
454 35 852
429 510 984
75 47 209
675 238 69
324 513 867
790 658 900
706 127 45
313 433 506
71 350 441
769 800 792
35 63 762
840 386 610
505 375 606
778 594 986
569 761 297
615 501 793
457 102 55
102 394 176
575 224 825
378 428 50
28 587 916
241 816 522
100 554 467
867 452 616
361 547 590
743 147 363
406 338 899
561 754 685
130 233 769
405 784 506
279 651 454
604 790 387
97 731 871
300 337 681
776 882 147
598 390 873
700 205 147
673 461 164
275 808 967
413 279 366
558 481 978
641 784 93
844 717 14
360 337 949
872 92 520
874 643 654
198 881 468
894 393 200
778 818 21
109 610 536
138 838 262
337 636 72
798 172 782
127 532 701
390 54 209
446 876 936
641 227 47
793 640 906
152 459 440
341 849 60
330 567 800
148 827 63
595 181 152
201 744 676
109 252 407
80 221 478
227 288 367
163 689 461
304 593 826
813 93 719
215 275 471
347 680 701
332 574 885
341 276 258
898 812 246
538 804 489
423 589 295
41 537 210
475 800 74
785 66 760
884 148 865
79 748 66
406 657 297
616 164 405
784 550 937
448 16 412
331 838 988
897 335 79
753 862 519
501 166 296
825 45 338
837 317 895
379 241 595
666 500 138
385 821 911
271 468 473
879 814 559
597 47 251
279 856 958
564 806 377
208 831 457
114 235 479
406 455 54
700 70 121
234 827 242
535 768 313
253 876 78
424 808 276
411 103 439
48 394 928
302 619 855
347 311 239
814 656 184
806 67 907
766 890 154
298 288 254
771 592 234
513 233 913
845 571 320
75 751 835
862 202 602
697 59 107
684 477 116
17 752 998
765 662 187
721 777 843
665 483 529
250 295 827
675 571 512
31 598 638
135 230 848
639 306 592
40 440 852
804 109 243
674 780 803
629 808 446
335 134 408
30 747 233
710 404 101
331 95 51
87 173 498
7 132 131
618 619 800
603 587 967
587 177 414
148 737 739
474 718 335
898 256 160
530 744 667
260 28 418
440 299 185
329 854 654
292 210 376
736 408 135
27 251 777
836 600 162
774 212 237
766 230 252
653 524 988
182 752 389
716 453 185
683 468 35
346 201 616
206 287 604
451 326 834
379 802 648
228 886 710
723 697 902
420 549 7
472 187 767
710 457 97
349 2 294
201 244 704
562 518 647
887 673 680
239 752 221
197 392 673
636 219 530
118 458 580
142 193 560
261 133 688
124 194 646
554 560 863
181 38 848
407 332 71
753 690 29
89 130 268
32 307 25
393 353 971
798 123 320
626 665 368
337 332 222
160 539 513
616 450 261
296 148 648
860 763 881
71 197 585
677 750 301
170 853 993
45 632 119
510 263 559
685 42 848
45 627 715
498 211 29
799 695 221
574 60 999
78 97 484
792 775 382
31 705 622
116 132 779
153 506 961
434 176 89
878 96 813
479 880 213
157 765 761
81 800 122
126 517 734
8 877 192
648 582 410
270 438 469
291 407 824
265 651 316
578 464 901
766 398 412
452 717 230
511 91 609
590 209 100
522 195 985
598 236 449
578 513 597
333 285 356
602 71 668
145 168 179
1 577 721
514 433 135
457 529 720
301 680 571
671 385 577
478 349 551
52 636 153
485 842 783
168 252 4
738 625 792
759 756 901
532 591 30
206 658 835
716 687 789
184 681 381
533 246 828
455 270 777
417 269 972
130 26 883
486 804 138
113 783 143
735 228 49
451 477 297
347 286 451
24 544 81
209 205 413
143 263 602
352 330 55
656 777 776
467 260 454
503 511 726
47 331 430
543 105 382
710 868 546
679 285 969
131 104 463
542 470 77
732 784 680
160 419 960
388 572 218
799 766 979
163 499 895
628 298 665
309 561 472
576 288 80
496 753 52
387 729 781
145 279 740
354 211 584
276 521 466
292 278 357
161 99 971
570 33 761
759 306 218
457 209 502
453 401 505
631 217 471
85 383 547
719 66 781
355 158 987
60 39 691
395 270 931
660 874 525
185 673 630
410 68 292
820 310 557
84 14 58
601 110 589
549 500 708
630 348 321
701 606 937
774 274 146
565 348 121
298 485 40
379 809 142
349 767 569
765 794 336
783 429 28
816 88 337
35 11 458
204 779 392
769 892 89
659 834 745
524 657 469
167 273 85
34 855 877
808 376 280
803 470 989
325 459 338
568 595 356
359 451 984
886 659 427
517 355 11
695 404 243
442 270 613
897 833 880
17 431 447
531 197 281
404 148 606
818 130 915
312 145 605
293 125 105
571 180 21
192 153 218
573 241 885
148 109 597
657 898 37
652 147 621
96 612 325
368 711 360
497 724 355
804 140 11
208 408 684
527 41 914
423 4 390
246 123 723
724 232 739
110 574 397
58 132 666
833 372 547
768 150 18
883 193 94
363 312 838
123 625 426
887 226 122
693 242 937
708 110 347
766 484 802
438 705 900
449 78 210
648 87 221
220 682 572
370 33 930
869 160 601
670 178 532
456 152 350
517 1 267
705 318 344
128 512 964
646 186 613
736 580 67
254 7 267
523 149 358
152 780 697
220 317 255
791 829 577
105 272 423
176 732 223
866 746 538
514 115 524
668 526 866
570 112 207
244 458 901
502 703 479
106 558 769
593 475 951
306 747 689
482 787 313
535 36 52
554 134 412
340 303 901
637 26 320
468 633 631
201 12 320
337 53 924
796 832 368
576 243 296
718 372 28
646 555 967
251 393 803
756 707 199
549 790 984
523 561 264
463 154 330
274 58 734
64 338 635
886 253 710
230 853 674
727 417 372
612 346 283
420 292 669
887 310 787
850 269 69
732 247 464
896 655 489
86 340 237
835 536 216
253 697 971
424 280 3
112 652 130
623 337 997
465 320 962
692 114 391
869 876 703
568 693 343
241 425 245
468 322 913
576 85 23
688 853 598
114 526 209
537 163 651
621 418 575
750 9 923
465 496 726
764 29 914
56 52 874
627 744 440
559 501 899
696 582 973
114 758 344
318 443 893
131 158 569
406 886 478
485 262 49
510 639 180
19 243 826
604 435 462
362 47 739
567 170 952
744 507 219
178 503 663
774 441 720
399 503 966
444 502 714
375 755 978
801 40 452
766 678 391
36 403 865
783 111 467
792 209 705
719 34 46
614 397 320
700 770 533
286 690 984
550 745 231
522 529 102
835 561 172
681 894 230
657 286 197
1 240 706
23 156 356
399 3 405
400 303 273
758 444 921
653 129 217
183 317 692
758 404 504
727 686 424
506 478 79
394 845 828
87 698 957
514 573 528
873 496 571
786 447 816
604 333 318
841 167 902
640 755 645
75 541 749
657 658 45
712 44 378
697 143 755
739 19 679
594 446 308
766 399 702
573 441 416
826 738 274
770 512 453
513 439 4
447 420 29
471 478 247
420 83 26
116 286 856
253 311 760
224 655 191
223 760 572
591 661 474
277 431 88
419 763 607
352 345 413
761 622 69
572 156 463
243 825 953
397 13 450
216 870 527
219 503 796
771 141 413
436 388 861
266 701 724
84 564 496
173 249 659
380 676 618
578 377 205
199 443 887
261 705 468
99 267 265
402 173 140
281 372 282
212 895 274
425 528 765
879 582 975
447 875 217
227 65 170
324 545 530
554 45 568
569 9 174
880 599 240
788 476 212
483 691 649
255 136 504
668 53 516
437 846 37
426 537 343
451 338 828
428 734 297
793 709 253
542 639 887
107 518 780
850 429 626
441 467 289
354 574 678
375 669 940
842 230 420
392 395 310
620 290 16
22 798 1000
748 782 600
332 212 308
773 788 127
100 692 60
238 73 891
22 176 49
624 825 173
71 802 794
382 738 431
661 140 477
18 179 450
8 872 210
112 442 107
817 851 161
345 723 570
152 51 201
389 597 968
779 487 51
338 258 263
578 360 182
437 652 581
380 10 899
751 178 286
606 177 121
769 93 515
504 213 771
861 312 951
86 278 317
126 609 850
223 29 179
266 159 611
63 863 11
839 89 595
104 269 834
541 843 32
756 408 641
485 398 9
523 610 818
239 113 44
422 714 985
881 193 113
37 211 611
895 886 524
235 895 36
98 757 862
300 226 291
843 629 660
159 753 942
554 793 362
677 260 800
285 190 441
175 108 383
167 399 63
160 168 890
855 631 42
565 505 348
864 885 968
283 355 962
459 311 468
589 403 123
215 405 560
773 328 384
391 699 262
51 896 378
212 842 997
242 403 151
211 545 950
555 56 55
758 496 220
438 83 743
872 804 75
601 382 307
560 731 868
878 82 59
705 707 345
750 746 381
458 473 639
158 331 878
51 179 721
833 166 667
275 65 608
646 505 717
238 293 134
