20
852 987
749 468 74
568 698 142
488 646 283
620 766 -348
233 137 -141
191 709 974
329 181 -719
144 28 872
656 804 97
680 584 -23
262 8 -259
371 132 839
381 108 919
249 656 -28
216 792 -481
741 604 -433
803 486 -439
724 756 929
113 86 745
38 635 -662
711 662 18
774 488 414
134 662 -42
449 25 -699
232 438 533
89 646 40
39 466 -947
522 14 417
467 654 -246
682 562 -40
272 152 -307
604 326 876
102 146 -663
647 75 -599
248 506 -662
473 361 -312
176 816 584
759 52 -488
766 151 48
398 457 193
582 619 457
88 466 833
168 164 -76
447 693 -822
553 37 -167
792 224 -402
117 2 -194
274 266 -766
694 345 921
666 481 -606
12 169 372
126 192 31
311 333 -93
354 847 -557
308 220 -286
244 576 -91
550 791 540
368 782 446
415 633 -180
179 112 -420
777 206 -609
722 225 -156
188 586 141
613 595 999
12 50 323
134 789 -430
258 649 972
177 56 516
617 287 211
283 178 551
414 246 343
663 468 -454
137 103 714
188 528 299
725 803 68
504 303 -613
76 466 870
551 419 -912
500 229 965
790 760 771
315 653 42
160 604 324
361 836 -173
773 367 747
151 836 987
660 279 100
693 672 -322
813 470 -613
800 576 890
49 161 909
427 39 137
368 380 -156
788 228 -406
143 532 -831
799 410 -453
631 745 963
656 708 -244
503 633 -707
105 649 988
123 392 -324
712 741 917
229 401 414
521 356 382
818 280 -943
778 602 585
46 32 664
19 111 -739
824 322 955
63 509 470
3 276 795
445 755 447
697 350 -612
365 755 -548
179 268 898
280 404 886
467 65 -382
27 480 -8
704 16 -677
24 288 30
458 559 336
75 708 807
95 805 468
137 635 962
765 376 -426
211 18 668
464 274 -928
761 504 859
236 149 48
723 327 -29
380 82 832
336 77 -128
802 734 -270
462 621 -738
745 107 432
739 400 -66
167 558 519
752 258 -747
239 550 -136
10 561 -777
710 115 -509
775 285 539
324 209 -403
516 60 -857
200 730 -372
748 288 -857
603 767 553
776 302 604
405 117 -87
500 569 819
440 350 91
395 769 -285
653 280 -115
112 658 -597
59 133 -934
95 672 36
543 681 220
663 381 849
472 475 -906
402 347 -34
710 362 -354
745 243 832
329 123 -815
755 562 233
518 812 -272
786 512 -452
625 644 774
595 428 483
192 759 -29
294 73 139
401 18 -849
526 725 -830
443 779 443
347 138 -857
629 406 -305
720 13 -126
599 160 -585
245 804 949
622 731 587
22 158 57
653 26 -159
752 852 531
333 696 -587
50 573 -769
122 112 -255
572 88 -8
834 568 503
230 370 -691
21 95 828
776 366 -696
9 227 -893
529 612 -227
357 527 224
792 729 400
318 233 -191
785 149 -997
333 455 -948
471 489 769
212 454 -767
282 725 421
704 656 379
731 7 -620
307 144 529
586 430 856
279 268 966
291 789 798
13 588 486
815 21 360
460 815 -500
253 399 -836
160 612 -687
664 276 541
415 651 344
829 824 -119
145 569 663
454 773 -777
5 558 -273
827 701 25
773 453 336
613 689 637
610 317 -547
350 579 699
844 812 638
623 547 762
497 420 488
482 498 95
345 51 -620
547 537 -242
158 547 249
467 825 768
650 407 903
310 797 266
710 588 -652
431 142 887
458 6 -820
829 363 -487
693 313 -298
615 804 208
314 777 619
520 527 76
793 462 201
199 544 576
192 268 -294
162 497 55
456 807 -7
254 447 113
460 649 192
98 237 -721
608 185 192
166 273 877
112 660 -267
201 442 253
357 475 387
30 278 -178
616 674 -395
816 321 470
340 456 -35
820 208 124
353 247 661
374 624 -836
24 713 660
405 106 -289
118 629 -972
360 3 -790
484 143 -327
751 245 -846
404 627 797
657 132 100
50 807 367
560 837 745
312 849 -580
209 56 -493
761 51 -545
533 632 -959
772 716 -991
597 142 -294
373 513 581
548 284 -112
622 425 452
306 669 -674
166 56 146
16 770 353
134 285 917
209 29 611
86 657 -761
215 392 -432
424 500 40
16 413 -44
658 551 596
245 532 -632
195 838 -133
32 187 -260
568 301 -600
819 432 -760
806 824 -178
819 378 -996
558 719 -217
167 488 -801
435 511 -950
414 515 526
533 216 -817
41 98 -857
652 540 -901
370 265 589
127 301 -681
340 790 366
720 330 -641
132 747 976
699 558 757
30 275 -168
182 635 -829
335 146 674
337 507 669
301 123 -614
214 851 296
815 191 -931
815 845 -661
394 93 -375
282 559 -883
262 68 -282
253 793 -847
303 254 257
688 83 -572
123 589 -602
459 364 -889
471 55 -141
634 14 577
430 245 -694
785 153 -772
736 340 -560
248 703 38
241 160 -915
343 821 -727
445 645 -269
31 394 -762
742 234 -594
628 738 385
132 155 -260
37 801 879
30 298 384
192 111 -377
579 380 -12
646 512 -778
632 399 -600
240 285 -140
817 175 692
372 840 -811
358 450 884
36 806 263
586 552 72
604 684 -915
67 557 850
179 611 881
595 445 -372
801 713 -17
413 667 -17
30 714 932
410 312 966
61 169 330
246 90 265
249 512 -970
137 551 -15
76 452 -25
30 335 -97
87 469 321
10 636 790
670 646 655
573 480 829
650 852 683
40 397 -892
588 716 -64
102 74 201
355 735 -16
639 81 -365
667 530 62
563 321 -4
279 587 -492
609 494 401
234 363 373
103 687 113
459 671 -247
117 555 23
114 640 -562
279 750 -765
22 487 -559
495 541 -875
732 406 30
784 204 220
489 62 534
462 783 851
798 330 -927
151 581 -900
287 310 -254
683 331 -90
549 59 750
764 157 972
26 517 -94
226 388 -93
13 420 -574
188 377 -494
430 104 2
734 406 -127
545 143 -515
480 179 -135
83 350 545
151 773 -200
506 249 934
255 385 951
190 271 885
620 217 -508
82 209 953
214 222 54
17 631 -489
146 192 -658
688 683 536
126 198 -853
358 66 -399
548 490 928
660 652 631
491 775 425
729 113 541
687 397 -323
586 702 -983
587 308 -92
243 440 520
526 769 198
87 234 -26
369 562 -393
361 661 811
484 452 686
798 366 -611
836 570 829
30 677 861
443 366 676
808 519 134
219 463 -926
111 847 -598
589 754 -426
273 380 248
326 152 -59
603 671 -452
202 197 754
601 253 18
652 781 752
335 790 -496
783 328 117
60 772 -434
80 416 112
421 736 597
705 796 29
56 789 735
224 719 -611
243 462 -68
35 670 -24
720 663 704
266 513 697
522 306 -417
316 374 -842
475 607 -210
152 541 -457
510 708 -993
648 424 585
386 96 737
724 252 602
718 803 760
762 421 -638
569 824 941
564 383 991
552 386 925
290 712 964
37 284 268
10 396 -391
128 363 204
751 765 654
589 799 -808
660 616 -514
292 89 -956
691 303 -981
414 348 485
456 53 64
666 49 -947
185 759 -988
289 584 684
639 675 585
205 17 61
348 210 -581
810 591 -923
836 429 204
460 534 345
800 333 867
207 64 49
798 21 39
140 245 887
547 311 -110
632 124 -619
763 691 -35
224 155 -287
176 8 -429
545 262 696
658 149 954
664 745 604
547 153 324
435 680 -634
614 710 179
574 662 412
352 797 -292
793 173 182
144 372 -199
43 515 311
392 465 613
266 444 3
431 242 -841
89 432 938
265 532 437
658 830 -519
250 823 -325
103 617 244
628 93 614
355 191 -104
773 290 88
507 697 238
410 208 943
545 588 -850
656 348 -548
219 756 529
468 586 -490
724 402 -350
516 391 -703
479 340 568
2 431 -963
518 565 -710
320 602 883
2 644 848
156 692 807
819 41 976
314 177 8
172 771 -437
763 15 -940
314 724 555
584 363 -725
602 775 717
393 733 -906
736 406 -822
489 702 -944
485 509 -180
362 551 -317
691 145 978
208 737 -948
703 450 -154
711 796 -377
840 369 629
397 8 23
609 134 -265
642 113 -941
438 601 -686
551 384 819
209 831 806
502 214 -14
781 61 -755
29 443 107
694 569 241
140 500 -390
125 238 642
249 222 -500
79 821 -280
615 97 -347
672 21 -592
644 230 -789
286 817 509
678 193 927
630 84 496
751 735 669
607 310 -560
447 39 88
310 703 724
201 437 506
599 347 -869
710 299 -803
708 677 -449
691 843 532
785 611 -324
604 449 860
360 481 -59
434 649 -422
681 625 411
78 188 -939
635 838 -495
113 263 813
209 262 -847
680 773 -976
760 391 -365
200 114 755
28 122 28
418 480 642
207 18 -50
553 665 373
642 391 411
307 721 -361
283 237 -980
460 562 779
438 766 -653
71 544 -24
58 434 -264
292 826 -977
640 213 38
145 259 -279
171 727 -520
422 347 -833
580 515 -711
228 780 300
196 284 405
148 10 -723
474 645 -299
75 175 201
688 233 -504
700 252 988
258 155 369
59 145 167
21 467 952
293 616 -516
319 399 -439
241 460 3
284 852 173
76 159 659
698 370 939
454 328 -648
675 671 -838
690 265 280
337 798 -936
505 150 -89
476 209 86
362 547 -907
603 60 -140
706 59 319
519 546 -505
169 481 310
586 111 -407
550 838 -892
86 251 966
645 211 -153
17 21 790
533 136 -121
120 515 -504
193 312 -621
763 433 -527
142 671 82
102 195 -31
614 335 -476
79 182 501
562 774 -535
396 148 -604
666 464 -886
427 650 -857
614 286 273
509 584 916
263 614 -215
437 128 134
780 65 -166
508 383 573
196 89 645
646 552 581
810 342 276
241 203 -563
527 472 59
527 725 227
489 63 -390
104 525 -524
658 625 810
710 141 -595
850 225 396
831 518 -720
375 120 212
372 355 689
393 250 653
569 127 391
384 702 -858
465 165 -388
85 579 -59
652 692 -429
364 124 212
828 840 -164
70 439 -713
287 545 316
459 783 732
120 632 -960
19 389 -382
232 502 846
417 600 -373
115 469 -858
25 275 -861
177 382 -459
492 410 58
165 790 -714
114 671 645
104 826 -180
208 271 170
557 665 335
156 203 -665
149 631 -196
549 617 -5
775 225 614
443 100 814
806 810 771
158 667 18
699 396 492
419 358 -23
478 340 382
613 639 -459
589 635 209
480 409 671
153 2 -475
477 775 -709
224 166 4
71 382 -115
727 170 608
25 342 -19
341 792 -50
843 304 991
762 358 65
190 252 -72
677 662 44
821 13 -936
555 225 831
375 688 -477
512 79 -626
687 160 118
838 606 963
409 779 -224
1 680 428
593 479 -602
657 689 -157
366 28 -110
283 516 818
554 850 -746
490 699 -512
667 227 -109
14 143 -6
258 117 -354
507 520 -974
238 527 7
411 370 -599
64 226 655
507 212 -65
244 139 1000
62 194 -686
717 352 74
151 833 -435
753 320 440
192 772 209
668 405 -536
473 571 416
388 464 310
323 63 654
264 39 -392
506 513 -647
122 422 -229
189 643 -720
667 351 -249
668 7 853
754 282 -784
56 64 341
214 305 149
156 666 513
330 812 -814
134 199 773
4 558 585
240 345 423
521 597 -581
813 657 -727
253 617 457
300 693 -181
186 209 -120
210 320 518
645 731 326
83 849 -789
500 786 -146
475 96 122
453 142 -872
111 15 -578
202 235 -528
78 728 -22
649 37 -244
250 341 977
439 363 976
585 737 -771
391 202 -43
181 183 629
756 256 188
387 825 -118
82 690 783
738 203 -225
48 760 -522
739 402 386
128 70 657
40 183 -756
740 383 573
212 790 649
248 833 815
753 651 649
372 157 498
48 728 216
212 16 -9
322 414 699
706 181 -871
815 556 728
557 222 -741
317 140 79
637 718 754
270 483 -78
245 300 -662
480 779 -275
295 564 898
378 571 -739
367 333 639
124 409 978
804 518 282
198 130 -498
547 463 -262
148 282 523
757 496 723
707 323 -495
749 745 923
681 806 -664
560 225 932
790 219 -294
695 604 -847
489 554 800
529 464 537
42 637 23
591 786 372
791 26 -957
550 1 702
321 498 -343
484 63 -345
346 257 738
768 111 628
124 792 -230
366 180 -523
852 509 -465
824 16 682
381 338 -288
793 630 -473
318 160 315
71 837 920
169 486 553
497 712 743
821 601 71
585 657 -372
826 724 881
812 268 824
259 509 709
540 801 -432
843 494 741
366 30 -902
48 140 -978
769 344 127
511 797 358
43 668 767
207 721 -112
131 414 -122
2 783 959
467 343 611
240 813 -263
90 647 795
688 106 -669
577 817 -560
330 141 463
88 569 -241
147 311 -903
140 484 987
586 746 -792
187 449 -371
478 292 -877
735 452 592
405 774 733
587 301 74
523 121 888
203 595 -950
733 815 -816
425 589 569
374 720 -638
664 246 514
570 446 -693
785 125 -714
488 116 -699
436 577 -839
133 699 -480
694 751 6
206 21 -238
450 780 -638
264 253 -234
577 657 390
160 631 179
625 385 -73
319 558 -862
289 581 430
525 221 231
153 126 -164
851 453 -107
150 781 -609
496 250 785
700 187 122
622 333 -990
737 783 -704
309 724 668
307 169 -785
188 520 -420
521 508 -424
782 262 679
756 71 633
837 329 -727
125 149 -562
168 448 618
68 520 71
589 549 595
608 638 724
363 119 -107
178 514 340
702 259 -407
391 124 -464
777 697 -804
583 598 166
375 712 -751
678 835 368
103 96 504
391 531 -550
439 8 -351
404 189 203
235 225 -463
799 326 -881
