8258 24801
5162 4884 32
5210 4020 346
7082 5474 17
6979 4653 559
7077 1624 866
1145 1532 -650
4845 5317 38
6804 817 879
1292 6136 337
8044 6259 889
5590 5119 538
3347 1261 -448
910 3789 -41
3141 3023 -458
5780 8212 -569
8172 5680 -624
4309 494 91
7749 4557 968
2529 2456 -211
1744 1064 921
7568 7225 412
2759 5581 -315
5518 7685 -417
6463 2820 -713
8090 7204 959
8009 985 -4
4045 548 830
804 4369 -527
3589 5898 -829
7737 1025 69
542 7726 288
422 693 -324
7712 3042 713
8228 2765 715
3021 6957 808
4220 7450 901
6950 6340 360
2756 7589 490
2075 5360 896
7451 5649 -732
2191 1437 -305
5793 1411 346
3720 7493 -115
3806 597 272
708 227 -578
813 4891 899
3544 3686 -896
5417 3171 691
3660 2490 836
6433 3768 -310
2618 1717 -867
7954 1096 -418
3561 7497 -194
1098 4522 -799
1716 5390 -353
1193 2538 412
6048 2840 -314
252 4115 831
194 1941 -900
3981 1619 790
7098 1849 -985
1731 3027 -30
6410 3765 276
3170 3084 -52
4721 2836 -790
3266 6761 76
6692 4791 35
4886 1579 -953
3958 53 896
3138 6562 89
3281 7762 959
2711 7849 -186
6764 417 922
7639 6510 -673
6132 5579 261
3512 318 346
2022 4580 -85
7382 2994 826
5956 7153 -800
6301 4680 882
7061 6568 933
3987 2420 653
3292 4183 -750
6416 2122 476
2575 4411 249
6918 7255 699
1472 4725 -814
6748 5390 -636
1071 1332 -815
887 3689 -490
1837 4885 -557
6620 4545 648
8058 3310 518
7015 6365 -382
3076 1142 -769
1258 4928 982
4926 2009 661
5302 5362 -543
5217 1932 189
5503 3765 -993
3312 1174 780
2345 4950 290
3739 2428 32
1636 2626 -125
7925 2537 877
1704 2585 -94
4399 7220 -774
6136 5928 822
3838 5072 -530
6119 8064 -73
2397 1556 984
5639 307 573
7609 3522 -861
3292 1256 718
3101 4939 679
1158 2377 -252
919 4456 -574
5423 4932 459
6230 2806 599
4816 6010 -660
5244 7242 -994
7193 4253 -499
4391 7396 -385
4095 1339 -863
3688 7088 699
974 7948 -582
6874 3232 -17
5627 5148 620
1330 7150 466
2980 4443 823
2453 6462 -197
3620 5194 91
2431 6749 730
8031 6790 799
8151 4186 196
5578 6445 115
3003 7929 -369
4801 913 -708
5999 5077 -167
4002 5193 -39
4988 6455 -191
1988 7632 411
2383 7009 -551
6713 1259 676
8018 7550 937
563 6970 -301
3735 6849 -882
819 2742 -184
5224 7246 520
3292 5292 -174
7609 136 446
2872 2560 975
6307 3504 213
2687 340 995
5356 3383 -956
5624 5240 -33
5828 7125 928
4569 503 654
8172 7300 -392
853 4420 -197
1555 7412 -892
754 5430 -359
3116 2065 -209
5155 455 516
2853 7450 804
6670 614 152
1916 2651 -881
2388 155 747
7660 5558 -884
230 2603 338
6242 3523 844
6075 7038 874
5981 2546 413
2383 3399 953
5366 927 338
2705 4520 -103
234 792 381
1251 6493 943
7086 8101 741
2555 6035 -376
3887 5038 871
3832 6599 358
3258 6689 -322
7864 4586 -817
7747 7501 569
1095 6326 -813
5805 6086 -634
5771 3502 85
273 1174 -272
7402 5684 50
1734 1746 973
7712 7086 810
1306 5686 662
1854 7208 126
5592 6622 -445
2427 7772 -587
6101 7212 656
4875 4848 704
2732 3267 -159
542 3551 780
4039 7291 562
3077 1561 574
6896 5173 234
5799 6246 -303
